Use,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
energy use,"4,663.457","3,922.442","3,560.963","3,135.254","2,940.585","3,125.881","3,415.907","3,304.299","3,146.604","2,916.853","2,918.229","3,120.722","3,059.931","3,224.506","3,334.050","3,341.273","3,522.356","3,523.130","3,595.271","3,233.620","3,552.623","3,672.743","3,644.540","3,493.379","3,603.181","3,699.914","3,719.433","3,843.413","3,918.013","3,918.595","3,785.421"
industry sector - chemical and petrochemical - energy use,801.204,518.917,487.274,447.377,355.030,408.340,443.508,414.015,372.227,270.077,300.000,294.239,331.814,317.799,303.181,293.809,371.453,321.066,336.715,283.663,298.194,333.276,313.586,257.782,284.953,266.208,258.813,266.272,278.612,274.717,276.683
industry sector - construction - energy use,218.315,79.708,57.094,50.989,66.294,65.520,55.030,57.954,35.512,50.387,64.918,64.058,88.478,91.316,58.469,60.447,69.905,80.310,72.399,68.186,59.931,59.415,61.909,45.228,41.531,38.693,36.887,34.692,33.353,41.437,53.184
"industry sector - food, beverages and tobacco - energy use",159.157,187.102,121.582,107.653,107.739,97.163,112.124,124.592,88.736,102.494,111.952,117.799,132.072,220.980,287.446,249.785,121.926,122.442,144.970,133.620,134.308,136.715,141.874,143.852,152.107,156.836,160.533,162.221,164.433,163.996,159.600
industry sector - iron and steel - energy use,617.369,786.586,590.370,581.427,583.835,639.639,632.158,680.310,649.871,631.642,506.707,625.193,598.968,620.808,734.652,727.687,730.782,715.993,672.915,476.354,576.354,580.997,546.174,452.537,462.167,489.596,484.523,218.456,207.585,204.347,169.612
industry sector - machinery - energy use,572.915,406.879,367.068,346.002,301.204,323.130,330.353,317.111,353.310,247.291,249.011,233.964,230.525,208.770,180.653,159.845,145.400,153.826,181.255,139.553,194.755,156.750,166.552,157.782,174.033,175.150,188.306,211.208,237.202,226.965,163.312
industry sector - mining and quarrying - energy use,0.000,0.000,67.068,77.300,83.233,83.319,85.899,92.089,57.782,49.871,53.740,55.718,52.794,50.989,43.336,44.712,29.493,12.468,12.984,15.047,21.496,21.066,19.518,20.120,17.197,19.433,21.496,22.670,21.283,21.213,21.760
industry sector - non-ferrous metals - energy use,348.839,391.660,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,288.746,299.672,281.248,268.201
industry sector - non-metallic minerals - energy use,33.362,33.362,138.693,115.219,146.604,125.365,150.387,147.807,155.288,155.718,152.279,137.059,147.463,89.252,176.784,179.536,269.819,188.822,179.880,147.377,164.574,165.434,162.769,152.623,163.629,204.127,219.776,227.562,216.815,226.282,221.241
industry sector - not elsewhere specified - energy use,227.085,37.145,169.819,126.655,80.396,113.414,144.540,152.365,126.053,137.059,130.782,107.309,118.057,106.277,126.741,133.620,86.672,107.567,88.134,77.042,82.717,108.942,84.179,98.366,92.347,92.863,99.484,99.558,98.084,92.512,78.933
"industry sector - paper, pulp and printing - energy use",121.238,78.762,75.838,64.144,63.199,67.842,64.660,66.724,47.549,47.206,59.931,61.737,59.673,69.819,60.791,46.604,56.320,53.396,37.661,29.321,49.011,38.005,35.426,35.684,47.549,53.396,57.094,64.404,65.334,60.572,42.340
industry sector - textile and leather - energy use,135.426,96.131,82.975,76.784,67.584,59.587,64.660,77.816,46.948,41.788,63.543,70.421,103.697,85.125,85.813,52.021,70.679,73.001,97.420,56.664,69.905,66.896,62.769,68.272,73.173,64.058,60.791,58.531,57.025,57.258,49.183
industry sector - transport equipment - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,40.155,34.308,43.680,41.187,71.797,78.590,76.612,73.001,40.929,83.577,86.930,105.417,120.120,120.206,119.003,123.053,142.530,154.691,156.115
industry sector - wood and wood products - energy use,80.052,39.037,33.878,32.158,26.053,23.818,24.334,29.579,17.369,15.821,19.003,17.025,46.776,25.193,61.479,47.206,63.199,56.148,75.580,63.629,60.275,61.737,72.829,80.825,78.418,84.265,83.233,90.546,89.065,82.014,80.477
other sectors - agriculture and forestry - energy use,273.431,360.361,187.618,168.444,157.696,151.247,114.531,153.998,112.726,67.584,52.537,41.187,36.199,29.493,32.072,28.461,38.005,48.323,47.635,42.390,57.696,65.434,70.593,70.507,73.345,79.020,63.801,63.719,64.684,64.699,46.054
other sectors - commercial and public services - energy use,389.940,173.087,285.469,147.463,168.616,168.788,295.357,114.961,230.868,293.637,336.028,477.386,235.684,408.340,308.340,343.938,421.324,491.917,553.052,561.135,651.849,676.612,679.020,684.523,707.051,722.872,737.833,734.956,752.596,758.973,734.145
other sectors - fishing - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.172,0.086,0.086,0.000,0.000,0.000,0.172,0.172,0.172,0.172,0.044,0.045,0.068,0.091
other sectors - households - energy use,460.361,580.138,653.138,603.869,571.453,611.866,698.366,683.233,680.739,677.816,657.954,664.144,668.186,708.770,691.574,793.981,859.759,893.293,894.239,947.635,974.119,995.443,"1,034.824","1,022.872","1,024.076","1,039.983","1,037.575","1,083.119","1,098.872","1,116.448","1,171.091"
other sectors - not elsewhere specified - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
transport sector - domestic aviation - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transport sector - domestic navigation - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transport sector - not elsewhere specified - energy use,224.764,153.568,92.519,38.521,15.477,49.699,55.976,56.234,49.527,40.585,94.497,81.771,53.654,48.839,44.540,49.527,37.833,42.046,47.463,44.196,37.661,25.537,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
transport sector - pipeline transport - energy use,0.000,0.000,4.987,3.955,4.815,5.245,5.417,5.073,3.869,3.267,2.322,2.494,2.923,3.095,3.353,4.127,4.213,3.955,3.267,3.181,3.095,2.752,1.634,1.634,1.720,1.548,1.806,1.814,1.636,1.550,3.616
transport sector - rail - energy use,0.000,0.000,145.572,147.291,141.359,131.900,138.607,130.439,118.229,84.609,63.027,69.218,112.812,105.331,91.144,84.781,73.775,79.794,73.001,71.539,75.752,90.026,98.624,91.230,85.641,87.876,85.125,88.562,85.819,86.258,86.223
transport sector - road - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.127,5.331,3.955,3.955,3.611,3.181,3.280,3.369,3.348,3.561
